scene,scene_title,method,generation,metric_l2
small_sample_structural_bias,小样本结构偏置,Set-Aware,24,0.51125156
small_sample_structural_bias,小样本结构偏置,Our method,24,0.16804098
small_sample_structural_bias,小样本结构偏置,No Filter,25,0.34626752
small_sample_structural_bias,小样本结构偏置,Weight-only,25,0.71042850
small_sample_structural_bias,小样本结构偏置,Set-Aware,25,0.47326900
small_sample_structural_bias,小样本结构偏置,Our method,25,0.15582740
small_sample_structural_bias,小样本结构偏置,No Filter,26,0.34609211
small_sample_structural_bias,小样本结构偏置,Weight-only,26,0.74448382
small_sample_structural_bias,小样本结构偏置,Set-Aware,26,0.43061296
small_sample_structural_bias,小样本结构偏置,Our method,26,0.14384546
small_sample_structural_bias,小样本结构偏置,No Filter,27,0.34622108
